State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,12/10/2023,900,1200,1000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,30/10/2023,800,1200,1000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,02/11/2023,800,2000,1500,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,06/11/2023,1000,2500,1600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,07/12/2023,500,800,600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,13/12/2023,400,800,600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,22/12/2023,900,1300,1000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,27/12/2023,900,1500,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,03/05/2024,750,1500,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,06/05/2024,600,2500,1500,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,11/05/2024,1000,2000,1500,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,29/05/2024,1500,4000,2500,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,31/05/2024,3250,3250,3250,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,06/06/2024,2000,3000,2500,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,24/06/2024,4000,5000,4500,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,02/01/2024,1200,1500,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,03/02/2024,1000,2900,1600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,06/02/2024,1250,2500,1900,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,16/02/2024,800,1400,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,05/03/2024,1000,2000,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,15/04/2024,625,2000,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,02/07/2024,3600,6000,4620,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,03/07/2024,2500,5000,3958,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,06/07/2024,3500,5000,4000,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,22/07/2024,3500,6000,4625,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,25/07/2024,3000,4000,3666,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,26/07/2024,3000,3000,3000,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,22/04/2025,400,1500,1023,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,24/04/2025,1000,2000,1246,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,25/04/2025,200,2250,1407,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,05/03/2025,200,1000,592,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,15/03/2025,200,1000,506,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,20/03/2025,200,800,386,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,27/03/2025,300,900,563,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,12/05/2025,600,1500,1025,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,16/05/2025,1200,1500,1333,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,17/05/2025,1200,1500,1333,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,21/05/2025,500,1500,1185,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,22/05/2025,1400,1500,1450,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,31/05/2025,1200,2000,1441,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,03/06/2025,1500,3000,2020,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,07/06/2025,1700,1700,1700,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,12/06/2025,2500,3000,2892,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,16/06/2025,1500,3000,2286,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,17/06/2025,2500,3000,2700,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,26/06/2025,2500,3000,2875,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,02/07/2025,1500,4000,3200,78
